price in aud,brand,model number,made in,warranty,available colors,body type,engine type,engine power,torque,no. of cylinders,transmission type,drive type,gear box,steering type,minimum turning radius,front suspension,back suspension,length,width,height,wheel base,ground clearance,kerb weight,tyre size,wheel size,front brake,rear brake,mileage in city,mileage on highway,fuel type,seating capacity,fuel tank capacity (litres),no. of doors,air conditioner,heater,antilock braking system,central locking,power steering,power windows,anti-lock braking,brake assist,power door locks,rear seat belts,seat belt warning,door ajar warning,adjustable seats,engine immobilizer,crash sensor,engine check warning,rear camera,anti-theft device,touch screen,audio system remote control,speakers front & back,bluetooth connectivity,usb & auxiliary input,adjustable steering column,height adjustable driving seat,digital clock,outside temperature display,smoke headlamps,electric folding rear view mirror,automatic climate control,low fuel warning light,rear reading lamp,bottle holder,voice control,steering gear type,child safety locks,night rear view mirror,vehicle stability control system,parking sensors,radio,fog lights front & back,keyless entry,centrally mounted fuel tank,leather seats,electric adjustable seats,charger,maximum speed,acceleration time (0-100 kmph),dvd player,boot space,tyre pressure monitor,smart access card entry,fuel system,tyre type,cd player,xenon headlamps,displacement (cc),halogen headlamps,assembled in,cassette player,shock absorbers type,valve configuration,removable/convertible top,introduction date
"25,963",Honda,city vx mt diesel 2022,japan,"basic: 3 years / 36,000 miles 4 years / 60,000 miles drivetrain, 5 years / 60,000 miles maintenance , and 5 years / 60,000 miles roadside assistance warranty.","black, blue glow metallic, cayenne orange metallic, cherry red tintcoat, iron gray metallic, red hot, silver ice metallic, and summit white.",sedan,water cooled inline i-vtec dohc with vtc,[email protected],[email protected],4 cylinders,manual,front wheel drive,6-speed,power,5.3 ft,mcpherson strut with coil spring,torsion beam with coil spring,4549 mm,1748 mm,1489 mm,2600 mm,165 mm,1191 kg,185/55 r16,r16,ventilated disc,drum,15.32 mpg,20.68 mpg,diesel,5 seaters,40.0 liter gallon,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23,256",Honda,city vx mt 2022,japan,"basic: 3 years / 36,000 miles 4 years / 60,000 miles drivetrain, 5 years / 60,000 miles maintenance , and 5 years / 60,000 miles roadside assistance warranty.","black, blue glow metallic, cayenne orange metallic, cherry red tintcoat, iron gray metallic, red hot, silver ice metallic, and summit white.",sedan,water cooled inline i-vtec dohc with vtc,[email protected],[email protected],4 cylinders,manual,front wheel drive,6-speed,power,5.3 ft,mcpherson strut with coil spring,torsion beam with coil spring,4549 mm,1748 mm,1489 mm,2600 mm,165 mm,1191 kg,185/55 r16,r16,ventilated disc,drum,16.28 mpg,20.68 mpg,petrol,5 seaters,40.0 liter gallon,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23,515",Honda,city v mt diesel 2022,japan,"basic: 3 years / 36,000 miles 4 years / 60,000 miles drivetrain, 5 years / 60,000 miles maintenance , and 5 years / 60,000 miles roadside assistance warranty.","black, blue glow metallic, cayenne orange metallic, cherry red tintcoat, iron gray metallic, red hot, silver ice metallic, and summit white.",sedan,water cooled inline i-dtec dohc,[email protected],[email protected],4 cylinders,manual,front wheel drive,6-speed,power,5.3 ft,mcpherson strut with coil spring,torsion beam with coil spring,4549 mm,1748 mm,1489 mm,2600 mm,165 mm,1191 kg,185/60 r15,r15,ventilated disc,drum,15.32 mpg,20.68 mpg,diesel,5 seaters,40.0 liter gallon,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20,650",Honda,city v mt 2022,japan,"basic: 3 years / 36,000 miles 4 years / 60,000 miles drivetrain, 5 years / 60,000 miles maintenance , and 5 years / 60,000 miles roadside assistance warranty.","black, blue glow metallic, cayenne orange metallic, cherry red tintcoat, iron gray metallic, red hot, silver ice metallic, and summit white.",sedan,water cooled inline i-vtec dohc with vtc,[email protected],[email protected],4 cylinders,manual,front wheel drive,6-speed,power,5.3 ft,mcpherson strut with coil spring,torsion beam with coil spring,4549 mm,1748 mm,1489 mm,2600 mm,165 mm,1191 kg,185/60 r15,r15,ventilated disc,drum,15.32 mpg,20.68 mpg,petrol,5 seaters,40.0 liter gallon,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23,155",Honda,city v cvt 2022,japan,"basic: 3 years / 36,000 miles 4 years / 60,000 miles drivetrain, 5 years / 60,000 miles maintenance , and 5 years / 60,000 miles roadside assistance warranty.","black, blue glow metallic, cayenne orange metallic, cherry red tintcoat, iron gray metallic, red hot, silver ice metallic, and summit white.",sedan,water cooled inline i-vtec dohc with vtc,[email protected],[email protected],4,automatic,front-wheel drive,cvt,power,5.3 m,mcpherson strut with coil spring,torsion beam with coil spring,4549 mm,1748 mm,1489 mm,2600 mm,165 mm,1191 kg,185/60 r15,r15,ventilated disc,drum,16.28 mpg,20.68 mpg,petrol,5 seaters,40.0 liter gallon,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,rack and pinion,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,
"20,635",Honda,city 2022,japan,"basic: 3 years / 36,000 miles 4 years / 60,000 miles drivetrain, 5 years / 60,000 miles maintenance , and 5 years / 60,000 miles roadside assistance warranty.","black, blue glow metallic, cayenne orange metallic, cherry red tintcoat, iron gray metallic, red hot, silver ice metallic, and summit white.",suv,water cooled inline i-dtec dohc,[email protected],[email protected],4,manual,front-wheel drive,6-speed,power,5.3 m,mcpherson strut with coil spring,torsion beam with coil spring,4549 mm,1748 mm,1489 mm,2600 mm,165 mm,1191 kg,185/55 r16,r16,ventilated disc,drum,15.32 mpg,20.68 mpg,diesel,5 seaters,40.0 liter gallon,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,rack and pinion,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,
"45,792",Honda,cr-v 2023,japan,"3 years / 36000 miles basic , 5 years / unlimited miles corrosion , 5 years / 60000 miles drivetrain , and 3 years / 36000 miles roadside assistance.","crystal black pearl, lunar silver metallic, and platinum white pearl.",suv,1.5l turbo inline-4 gas,190 hp @ 5600 rpm,179 lb-ft @ 2000 rpm,4,continuously variable automatic (cvt),all-wheel drive,,power,37.4 ft,"independent, macpherson strut","independent, multi-link",182.1 in,73 in,66.5 in,104.7 in,,-,p235/65hr17,17 in x 7.5 in aluminum wheels,disc brakes,disc brakes,27 city,32 hwy,gasoline,5 seater,14 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,,rack-pinion,yes,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
"41,314",Honda,hr-v ex-l 2wd 2023,japan,"3 years / 36,000 miles basic , 5 years / unlimited miles corrosion , 5 years / 60,000 miles drivetrain , 3 years / 36,000 miles roadside assistance warranty","crystal black pearl, lunar silver metallic, milano red, modern steel metallic, nordic forest pearl, and platinum white pearl.",suv,2.0l inline-4 gas,158 hp @ 6500 rpm,138 lb-ft @ 4200 rpm,4,continuously variable automatic (cvt),front-wheel drive,,power,35.1 ft,strut,multi-link,179.8 in,72.4 in,63.4 in,104.5 in,,,p215/60hr17,17 in x 7.5 in aluminum wheels,discs,discs,26 city,32 hwy,gasoline,5 seater,14.8 gallons,4 doors,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,,rack & pinion,yes,,yes,yes,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,
"38,722",Honda,hr-v sport 2wd 2023,japan,"3 years / 36,000 miles basic , 5 years / unlimited miles corrosion , 5 years / 60,000 miles drivetrain , 3 years / 36,000 miles roadside assistance warranty","crystal black pearl, milano red, nordic forest pearl, platinum white pearl, and urban gray pearl.",suv,2.0l inline-4 gas,158 hp @ 6500 rpm,138 lb-ft @ 4200 rpm,4,continuously variable automatic (cvt),front-wheel drive,,power,37.1 ft,strut,multi-link,179.8 in,72.4 in,63.8 in,104.5 in,,,p225/55hr18,18 in x 7.5 in aluminum wheels,discs,discs,26 city,32 hwy,gasoline,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,,rack & pinion,yes,,yes,yes,,,yes,yes,,,,,,,,,,,,,,,,,,,,,
"34,056",Honda,hr-v lx 2wd 2023,japan,"3 years / 36,000 miles basic , 5 years / unlimited miles corrosion , 5 years / 60,000 miles drivetrain , 3 years / 36,000 miles roadside assistance warranty","crystal black pearl, lunar silver metallic, modern steel metallic, and platinum white pearl.",suv,2.0l inline-4 gas,158 hp @ 6500 rpm,138 lb-ft @ 4200 rpm,4,continuously variable automatic (cvt),front-wheel drive,,power,35.1 ft,strut,multi-link,179.8 in,72.4 in,63.4 in,104.5 in,,,p215/60hr17,17 in x 7.5 in aluminum wheels,discs,discs,26 city,32 hwy,gasoline,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,,rack & pinion,yes,,yes,yes,,,yes,yes,,,,,,,,,,,,,,,,,,,,,
"34,056",Honda,hr v 2023,japan,"3 years / 36,000 miles basic , 5 years / unlimited miles corrosion , 5 years / 60,000 miles drivetrain , 3 years / 36,000 miles roadside assistance warranty","crystal black pearl, lunar silver metallic, modern steel metallic, and platinum white pearl.",suv,2.0l inline-4 gas,158 hp @ 6500 rpm,138 lb-ft @ 4200 rpm,4,continuously variable automatic (cvt),front-wheel drive,,power,35.1 ft,strut,torsion beam,179.8 in,72.4 in,63.4 in,104.5 in,,,p215/60hr17,17 in x 7.5 in aluminum wheels,discs,discs,26 city,32 hwy,gasoline,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,,rack & pinion,yes,,yes,yes,,,yes,yes,,,,,,,,,,,,,,,,,,,,,
"44,194",Honda,hr-v ex-l awd 2023,japan,"3 years / 36,000 miles basic , 5 years / unlimited miles corrosion , 5 years / 60,000 miles drivetrain , 3 years / 36,000 miles roadside assistance warranty","crystal black pearl, lunar silver metallic, milano red, modern steel metallic, nordic forest pearl, and platinum white pearl.",suv,2.0l inline-4 gas,158 hp @ 6500 rpm,138 lb-ft @ 4200 rpm,4,continuously variable automatic (cvt),all-wheel drive,,power,35.1 ft,strut,multi-link,179.8 in,72.4 in,63.4 in,104.5 in,,,p215/60hr17,17 in x 7.5 in aluminum wheels,discs,discs,25 city,30 hwy,gasoline,5 seater,,4 doors,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,,rack & pinion,yes,,yes,yes,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,
